Date,Country,Region,Chain,Parent_SKU,SKU_Description,Total_Qty_CTN
2024-08-08,Singapore,North,NTUC FairPrice,SKU-D001,Diaper Pants M,54
2024-08-08,Singapore,North,NTUC FairPrice,SKU-D002,Diaper Pants L,40
2024-08-08,Singapore,North,NTUC FairPrice,SKU-D003,Diaper Tape NB,23
2024-08-08,Singapore,North,NTUC FairPrice,SKU-S001,Sanitary Pad Day,36
2024-08-08,Singapore,North,NTUC FairPrice,SKU-S002,Sanitary Pad Night,34
2024-08-08,Singapore,North,Sheng Siong,SKU-D001,Diaper Pants M,89
2024-08-08,Singapore,North,Sheng Siong,SKU-D002,Diaper Pants L,97
2024-08-08,Singapore,North,Sheng Siong,SKU-D003,Diaper Tape NB,50
2024-08-08,Singapore,North,Sheng Siong,SKU-S001,Sanitary Pad Day,63
2024-08-08,Singapore,North,Sheng Siong,SKU-S002,Sanitary Pad Night,55
2024-08-08,Singapore,West/Central,Cold Storage,SKU-D001,Diaper Pants M,45
2024-08-08,Singapore,West/Central,Cold Storage,SKU-D002,Diaper Pants L,32
2024-08-08,Singapore,West/Central,Cold Storage,SKU-D003,Diaper Tape NB,23
2024-08-08,Singapore,West/Central,Cold Storage,SKU-S001,Sanitary Pad Day,26
2024-08-08,Singapore,West/Central,Cold Storage,SKU-S002,Sanitary Pad Night,24
2024-08-08,Singapore,West/Central,NTUC FairPrice,SKU-D001,Diaper Pants M,0
2024-08-08,Singapore,West/Central,NTUC FairPrice,SKU-D002,Diaper Pants L,98
2024-08-08,Singapore,West/Central,NTUC FairPrice,SKU-D003,Diaper Tape NB,61
2024-08-08,Singapore,West/Central,NTUC FairPrice,SKU-S001,Sanitary Pad Day,83
2024-08-08,Singapore,West/Central,NTUC FairPrice,SKU-S002,Sanitary Pad Night,60
2024-08-08,Thailand,Bangkok,Big C,SKU-D001,Diaper Pants M,105
2024-08-08,Thailand,Bangkok,Big C,SKU-D002,Diaper Pants L,68
2024-08-08,Thailand,Bangkok,Big C,SKU-D003,Diaper Tape NB,55
2024-08-08,Thailand,Bangkok,Big C,SKU-S001,Sanitary Pad Day,60
2024-08-08,Thailand,Bangkok,Big C,SKU-S002,Sanitary Pad Night,48
2024-08-08,Thailand,Bangkok,Makro,SKU-D001,Diaper Pants M,79
2024-08-08,Thailand,Bangkok,Makro,SKU-D002,Diaper Pants L,62
2024-08-08,Thailand,Bangkok,Makro,SKU-D003,Diaper Tape NB,38
2024-08-08,Thailand,Bangkok,Makro,SKU-S001,Sanitary Pad Day,57
2024-08-08,Thailand,Bangkok,Makro,SKU-S002,Sanitary Pad Night,39
2024-08-08,Thailand,Bangkok,Tesco Lotus,SKU-D001,Diaper Pants M,186
2024-08-08,Thailand,Bangkok,Tesco Lotus,SKU-D002,Diaper Pants L,118
2024-08-08,Thailand,Bangkok,Tesco Lotus,SKU-D003,Diaper Tape NB,86
2024-08-08,Thailand,Bangkok,Tesco Lotus,SKU-S001,Sanitary Pad Day,82
2024-08-08,Thailand,Bangkok,Tesco Lotus,SKU-S002,Sanitary Pad Night,108
2024-08-08,Thailand,Central,Big C,SKU-D001,Diaper Pants M,193
2024-08-08,Thailand,Central,Big C,SKU-D002,Diaper Pants L,164
2024-08-08,Thailand,Central,Big C,SKU-D003,Diaper Tape NB,117
2024-08-08,Thailand,Central,Big C,SKU-S001,Sanitary Pad Day,138
2024-08-08,Thailand,Central,Big C,SKU-S002,Sanitary Pad Night,137
2024-08-08,Thailand,Central,Tesco Lotus,SKU-D001,Diaper Pants M,153
2024-08-08,Thailand,Central,Tesco Lotus,SKU-D002,Diaper Pants L,142
2024-08-08,Thailand,Central,Tesco Lotus,SKU-D003,Diaper Tape NB,74
2024-08-08,Thailand,Central,Tesco Lotus,SKU-S001,Sanitary Pad Day,126
2024-08-08,Thailand,Central,Tesco Lotus,SKU-S002,Sanitary Pad Night,102
2024-08-08,Thailand,North,Makro,SKU-D001,Diaper Pants M,129
2024-08-08,Thailand,North,Makro,SKU-D002,Diaper Pants L,111
2024-08-08,Thailand,North,Makro,SKU-D003,Diaper Tape NB,68
2024-08-08,Thailand,North,Makro,SKU-S001,Sanitary Pad Day,107
2024-08-08,Thailand,North,Makro,SKU-S002,Sanitary Pad Night,96
2024-08-08,Thailand,North,Tesco Lotus,SKU-D001,Diaper Pants M,135
2024-08-08,Thailand,North,Tesco Lotus,SKU-D002,Diaper Pants L,140
2024-08-08,Thailand,North,Tesco Lotus,SKU-D003,Diaper Tape NB,101
2024-08-08,Thailand,North,Tesco Lotus,SKU-S001,Sanitary Pad Day,113
2024-08-08,Thailand,North,Tesco Lotus,SKU-S002,Sanitary Pad Night,123
2024-08-09,Malaysia,Central,99 Speedmart,SKU-D001,Diaper Pants M,54
2024-08-09,Malaysia,Central,99 Speedmart,SKU-D002,Diaper Pants L,45
2024-08-09,Malaysia,Central,99 Speedmart,SKU-D003,Diaper Tape NB,25
2024-08-09,Malaysia,Central,99 Speedmart,SKU-S001,Sanitary Pad Day,38
2024-08-09,Malaysia,Central,99 Speedmart,SKU-S002,Sanitary Pad Night,31
2024-08-09,Malaysia,Central,AEON,SKU-D001,Diaper Pants M,146
2024-08-09,Malaysia,Central,AEON,SKU-D002,Diaper Pants L,154
2024-08-09,Malaysia,Central,AEON,SKU-D003,Diaper Tape NB,87
2024-08-09,Malaysia,Central,AEON,SKU-S001,Sanitary Pad Day,158
2024-08-09,Malaysia,Central,AEON,SKU-S002,Sanitary Pad Night,75
2024-08-09,Malaysia,Central,Lotus's,SKU-D001,Diaper Pants M,48
2024-08-09,Malaysia,Central,Lotus's,SKU-D002,Diaper Pants L,47
2024-08-09,Malaysia,Central,Lotus's,SKU-D003,Diaper Tape NB,22
2024-08-09,Malaysia,Central,Lotus's,SKU-S001,Sanitary Pad Day,38
2024-08-09,Malaysia,Central,Lotus's,SKU-S002,Sanitary Pad Night,34
2024-08-09,Malaysia,Northern,Giant,SKU-D001,Diaper Pants M,50
2024-08-09,Malaysia,Northern,Giant,SKU-D002,Diaper Pants L,33
2024-08-09,Malaysia,Northern,Giant,SKU-D003,Diaper Tape NB,21
2024-08-09,Malaysia,Northern,Giant,SKU-S001,Sanitary Pad Day,24
2024-08-09,Malaysia,Northern,Giant,SKU-S002,Sanitary Pad Night,27
2024-08-09,Malaysia,Northern,Lotus's,SKU-D001,Diaper Pants M,204
2024-08-09,Malaysia,Northern,Lotus's,SKU-D002,Diaper Pants L,143
2024-08-09,Malaysia,Northern,Lotus's,SKU-D003,Diaper Tape NB,110
2024-08-09,Malaysia,Northern,Lotus's,SKU-S001,Sanitary Pad Day,162
2024-08-09,Malaysia,Northern,Lotus's,SKU-S002,Sanitary Pad Night,122
2024-08-09,Malaysia,Northern,Mydin,SKU-D001,Diaper Pants M,43
2024-08-09,Malaysia,Northern,Mydin,SKU-D002,Diaper Pants L,39
2024-08-09,Malaysia,Northern,Mydin,SKU-D003,Diaper Tape NB,33
2024-08-09,Malaysia,Northern,Mydin,SKU-S001,Sanitary Pad Day,43
2024-08-09,Malaysia,Northern,Mydin,SKU-S002,Sanitary Pad Night,26
2024-08-09,Malaysia,Southern,AEON,SKU-D001,Diaper Pants M,170
2024-08-09,Malaysia,Southern,AEON,SKU-D002,Diaper Pants L,85
2024-08-09,Malaysia,Southern,AEON,SKU-D003,Diaper Tape NB,83
2024-08-09,Malaysia,Southern,AEON,SKU-S001,Sanitary Pad Day,89
2024-08-09,Malaysia,Southern,AEON,SKU-S002,Sanitary Pad Night,92
2024-08-09,Malaysia,Southern,Econsave,SKU-D001,Diaper Pants M,0
2024-08-09,Malaysia,Southern,Econsave,SKU-D002,Diaper Pants L,123
2024-08-09,Malaysia,Southern,Econsave,SKU-D003,Diaper Tape NB,77
2024-08-09,Malaysia,Southern,Econsave,SKU-S001,Sanitary Pad Day,114
2024-08-09,Malaysia,Southern,Econsave,SKU-S002,Sanitary Pad Night,94
2024-08-09,Malaysia,Southern,Giant,SKU-D001,Diaper Pants M,13
2024-08-09,Malaysia,Southern,Giant,SKU-D002,Diaper Pants L,14
2024-08-09,Malaysia,Southern,Giant,SKU-D003,Diaper Tape NB,9
2024-08-09,Malaysia,Southern,Giant,SKU-S001,Sanitary Pad Day,9
2024-08-09,Malaysia,Southern,Giant,SKU-S002,Sanitary Pad Night,8
2024-08-09,Singapore,East,Cold Storage,SKU-D001,Diaper Pants M,21
2024-08-09,Singapore,East,Cold Storage,SKU-D002,Diaper Pants L,22
2024-08-09,Singapore,East,Cold Storage,SKU-D003,Diaper Tape NB,16
2024-08-09,Singapore,East,Cold Storage,SKU-S001,Sanitary Pad Day,19
2024-08-09,Singapore,East,Cold Storage,SKU-S002,Sanitary Pad Night,16
2024-08-09,Singapore,East,NTUC FairPrice,SKU-D001,Diaper Pants M,26
2024-08-09,Singapore,East,NTUC FairPrice,SKU-D002,Diaper Pants L,23
2024-08-09,Singapore,East,NTUC FairPrice,SKU-D003,Diaper Tape NB,15
2024-08-09,Singapore,East,NTUC FairPrice,SKU-S001,Sanitary Pad Day,28
2024-08-09,Singapore,East,NTUC FairPrice,SKU-S002,Sanitary Pad Night,16
2024-08-09,Singapore,East,Sheng Siong,SKU-D001,Diaper Pants M,109
2024-08-09,Singapore,East,Sheng Siong,SKU-D002,Diaper Pants L,63
2024-08-09,Singapore,East,Sheng Siong,SKU-D003,Diaper Tape NB,55
2024-08-09,Singapore,East,Sheng Siong,SKU-S001,Sanitary Pad Day,85
2024-08-09,Singapore,East,Sheng Siong,SKU-S002,Sanitary Pad Night,66
2024-08-09,Singapore,North,NTUC FairPrice,SKU-D001,Diaper Pants M,59
2024-08-09,Singapore,North,NTUC FairPrice,SKU-D002,Diaper Pants L,50
2024-08-09,Singapore,North,NTUC FairPrice,SKU-D003,Diaper Tape NB,36
2024-08-09,Singapore,North,NTUC FairPrice,SKU-S001,Sanitary Pad Day,0
2024-08-09,Singapore,North,NTUC FairPrice,SKU-S002,Sanitary Pad Night,29
2024-08-09,Singapore,North,Sheng Siong,SKU-D001,Diaper Pants M,112
2024-08-09,Singapore,North,Sheng Siong,SKU-D002,Diaper Pants L,87
2024-08-09,Singapore,North,Sheng Siong,SKU-D003,Diaper Tape NB,55
2024-08-09,Singapore,North,Sheng Siong,SKU-S001,Sanitary Pad Day,67
2024-08-09,Singapore,North,Sheng Siong,SKU-S002,Sanitary Pad Night,55
2024-08-09,Singapore,West/Central,Cold Storage,SKU-D001,Diaper Pants M,0
2024-08-09,Singapore,West/Central,Cold Storage,SKU-D002,Diaper Pants L,39
2024-08-09,Singapore,West/Central,Cold Storage,SKU-D003,Diaper Tape NB,20
2024-08-09,Singapore,West/Central,Cold Storage,SKU-S001,Sanitary Pad Day,38
2024-08-09,Singapore,West/Central,Cold Storage,SKU-S002,Sanitary Pad Night,26
2024-08-09,Singapore,West/Central,NTUC FairPrice,SKU-D001,Diaper Pants M,156
2024-08-09,Singapore,West/Central,NTUC FairPrice,SKU-D002,Diaper Pants L,101
2024-08-09,Singapore,West/Central,NTUC FairPrice,SKU-D003,Diaper Tape NB,56
2024-08-09,Singapore,West/Central,NTUC FairPrice,SKU-S001,Sanitary Pad Day,100
2024-08-09,Singapore,West/Central,NTUC FairPrice,SKU-S002,Sanitary Pad Night,62
2024-08-09,Thailand,Bangkok,Big C,SKU-D001,Diaper Pants M,89
2024-08-09,Thailand,Bangkok,Big C,SKU-D002,Diaper Pants L,96
2024-08-09,Thailand,Bangkok,Big C,SKU-D003,Diaper Tape NB,66
2024-08-09,Thailand,Bangkok,Big C,SKU-S001,Sanitary Pad Day,83
2024-08-09,Thailand,Bangkok,Big C,SKU-S002,Sanitary Pad Night,80
2024-08-09,Thailand,Bangkok,Makro,SKU-D001,Diaper Pants M,75
2024-08-09,Thailand,Bangkok,Makro,SKU-D002,Diaper Pants L,77
2024-08-09,Thailand,Bangkok,Makro,SKU-D003,Diaper Tape NB,43
2024-08-09,Thailand,Bangkok,Makro,SKU-S001,Sanitary Pad Day,58
2024-08-09,Thailand,Bangkok,Makro,SKU-S002,Sanitary Pad Night,65
2024-08-09,Thailand,Bangkok,Tesco Lotus,SKU-D001,Diaper Pants M,115
2024-08-09,Thailand,Bangkok,Tesco Lotus,SKU-D002,Diaper Pants L,134
2024-08-09,Thailand,Bangkok,Tesco Lotus,SKU-D003,Diaper Tape NB,84
2024-08-09,Thailand,Bangkok,Tesco Lotus,SKU-S001,Sanitary Pad Day,153
2024-08-09,Thailand,Bangkok,Tesco Lotus,SKU-S002,Sanitary Pad Night,117
2024-08-09,Thailand,Central,Big C,SKU-D001,Diaper Pants M,251
2024-08-09,Thailand,Central,Big C,SKU-D002,Diaper Pants L,188
2024-08-09,Thailand,Central,Big C,SKU-D003,Diaper Tape NB,99
2024-08-09,Thailand,Central,Big C,SKU-S001,Sanitary Pad Day,201
2024-08-09,Thailand,Central,Big C,SKU-S002,Sanitary Pad Night,134
2024-08-09,Thailand,Central,Tesco Lotus,SKU-D001,Diaper Pants M,120
2024-08-09,Thailand,Central,Tesco Lotus,SKU-D002,Diaper Pants L,85
2024-08-09,Thailand,Central,Tesco Lotus,SKU-D003,Diaper Tape NB,85
2024-08-09,Thailand,Central,Tesco Lotus,SKU-S001,Sanitary Pad Day,91
2024-08-09,Thailand,Central,Tesco Lotus,SKU-S002,Sanitary Pad Night,120
2024-08-09,Thailand,North,Makro,SKU-D001,Diaper Pants M,119
2024-08-09,Thailand,North,Makro,SKU-D002,Diaper Pants L,120
2024-08-09,Thailand,North,Makro,SKU-D003,Diaper Tape NB,91
2024-08-09,Thailand,North,Makro,SKU-S001,Sanitary Pad Day,138
2024-08-09,Thailand,North,Makro,SKU-S002,Sanitary Pad Night,0
2024-08-09,Thailand,North,Tesco Lotus,SKU-D001,Diaper Pants M,0
2024-08-09,Thailand,North,Tesco Lotus,SKU-D002,Diaper Pants L,172
2024-08-09,Thailand,North,Tesco Lotus,SKU-D003,Diaper Tape NB,109
2024-08-09,Thailand,North,Tesco Lotus,SKU-S001,Sanitary Pad Day,164
2024-08-09,Thailand,North,Tesco Lotus,SKU-S002,Sanitary Pad Night,146
2024-08-10,Malaysia,Central,99 Speedmart,SKU-D001,Diaper Pants M,34
2024-08-10,Malaysia,Central,99 Speedmart,SKU-D002,Diaper Pants L,33
2024-08-10,Malaysia,Central,99 Speedmart,SKU-D003,Diaper Tape NB,25
2024-08-10,Malaysia,Central,99 Speedmart,SKU-S001,Sanitary Pad Day,38
2024-08-10,Malaysia,Central,99 Speedmart,SKU-S002,Sanitary Pad Night,30
2024-08-10,Malaysia,Central,AEON,SKU-D001,Diaper Pants M,149
2024-08-10,Malaysia,Central,AEON,SKU-D002,Diaper Pants L,110
2024-08-10,Malaysia,Central,AEON,SKU-D003,Diaper Tape NB,70
2024-08-10,Malaysia,Central,AEON,SKU-S001,Sanitary Pad Day,117
2024-08-10,Malaysia,Central,AEON,SKU-S002,Sanitary Pad Night,112
2024-08-10,Malaysia,Central,Lotus's,SKU-D001,Diaper Pants M,42
2024-08-10,Malaysia,Central,Lotus's,SKU-D002,Diaper Pants L,40
2024-08-10,Malaysia,Central,Lotus's,SKU-D003,Diaper Tape NB,19
2024-08-10,Malaysia,Central,Lotus's,SKU-S001,Sanitary Pad Day,32
2024-08-10,Malaysia,Central,Lotus's,SKU-S002,Sanitary Pad Night,27
2024-08-10,Malaysia,Northern,Giant,SKU-D001,Diaper Pants M,28
2024-08-10,Malaysia,Northern,Giant,SKU-D002,Diaper Pants L,32
2024-08-10,Malaysia,Northern,Giant,SKU-D003,Diaper Tape NB,17
2024-08-10,Malaysia,Northern,Giant,SKU-S001,Sanitary Pad Day,25
2024-08-10,Malaysia,Northern,Giant,SKU-S002,Sanitary Pad Night,17
2024-08-10,Malaysia,Northern,Lotus's,SKU-D001,Diaper Pants M,153
2024-08-10,Malaysia,Northern,Lotus's,SKU-D002,Diaper Pants L,135
2024-08-10,Malaysia,Northern,Lotus's,SKU-D003,Diaper Tape NB,76
2024-08-10,Malaysia,Northern,Lotus's,SKU-S001,Sanitary Pad Day,129
2024-08-10,Malaysia,Northern,Lotus's,SKU-S002,Sanitary Pad Night,122
2024-08-10,Malaysia,Northern,Mydin,SKU-D001,Diaper Pants M,43
2024-08-10,Malaysia,Northern,Mydin,SKU-D002,Diaper Pants L,35
2024-08-10,Malaysia,Northern,Mydin,SKU-D003,Diaper Tape NB,23
2024-08-10,Malaysia,Northern,Mydin,SKU-S001,Sanitary Pad Day,31
2024-08-10,Malaysia,Northern,Mydin,SKU-S002,Sanitary Pad Night,20
2024-08-10,Malaysia,Southern,AEON,SKU-D001,Diaper Pants M,94
2024-08-10,Malaysia,Southern,AEON,SKU-D002,Diaper Pants L,111
2024-08-10,Malaysia,Southern,AEON,SKU-D003,Diaper Tape NB,84
2024-08-10,Malaysia,Southern,AEON,SKU-S001,Sanitary Pad Day,95
2024-08-10,Malaysia,Southern,AEON,SKU-S002,Sanitary Pad Night,78
2024-08-10,Malaysia,Southern,Econsave,SKU-D001,Diaper Pants M,81
2024-08-10,Malaysia,Southern,Econsave,SKU-D002,Diaper Pants L,86
2024-08-10,Malaysia,Southern,Econsave,SKU-D003,Diaper Tape NB,49
2024-08-10,Malaysia,Southern,Econsave,SKU-S001,Sanitary Pad Day,79
2024-08-10,Malaysia,Southern,Econsave,SKU-S002,Sanitary Pad Night,70
2024-08-10,Malaysia,Southern,Giant,SKU-D001,Diaper Pants M,10
2024-08-10,Malaysia,Southern,Giant,SKU-D002,Diaper Pants L,8
2024-08-10,Malaysia,Southern,Giant,SKU-D003,Diaper Tape NB,6
2024-08-10,Malaysia,Southern,Giant,SKU-S001,Sanitary Pad Day,5
2024-08-10,Malaysia,Southern,Giant,SKU-S002,Sanitary Pad Night,6
2024-08-10,Singapore,East,Cold Storage,SKU-D001,Diaper Pants M,19
2024-08-10,Singapore,East,Cold Storage,SKU-D002,Diaper Pants L,23
2024-08-10,Singapore,East,Cold Storage,SKU-D003,Diaper Tape NB,12
2024-08-10,Singapore,East,Cold Storage,SKU-S001,Sanitary Pad Day,14
2024-08-10,Singapore,East,Cold Storage,SKU-S002,Sanitary Pad Night,14
2024-08-10,Singapore,East,NTUC FairPrice,SKU-D001,Diaper Pants M,18
2024-08-10,Singapore,East,NTUC FairPrice,SKU-D002,Diaper Pants L,14
2024-08-10,Singapore,East,NTUC FairPrice,SKU-D003,Diaper Tape NB,14
2024-08-10,Singapore,East,NTUC FairPrice,SKU-S001,Sanitary Pad Day,17
2024-08-10,Singapore,East,NTUC FairPrice,SKU-S002,Sanitary Pad Night,15
2024-08-10,Singapore,East,Sheng Siong,SKU-D001,Diaper Pants M,81
2024-08-10,Singapore,East,Sheng Siong,SKU-D002,Diaper Pants L,88
2024-08-10,Singapore,East,Sheng Siong,SKU-D003,Diaper Tape NB,40
2024-08-10,Singapore,East,Sheng Siong,SKU-S001,Sanitary Pad Day,52
2024-08-10,Singapore,East,Sheng Siong,SKU-S002,Sanitary Pad Night,46
2024-08-10,Singapore,North,NTUC FairPrice,SKU-D001,Diaper Pants M,44
2024-08-10,Singapore,North,NTUC FairPrice,SKU-D002,Diaper Pants L,45
2024-08-10,Singapore,North,NTUC FairPrice,SKU-D003,Diaper Tape NB,24
2024-08-10,Singapore,North,NTUC FairPrice,SKU-S001,Sanitary Pad Day,33
2024-08-10,Singapore,North,NTUC FairPrice,SKU-S002,Sanitary Pad Night,35
2024-08-10,Singapore,North,Sheng Siong,SKU-D001,Diaper Pants M,66
2024-08-10,Singapore,North,Sheng Siong,SKU-D002,Diaper Pants L,86
2024-08-10,Singapore,North,Sheng Siong,SKU-D003,Diaper Tape NB,49
2024-08-10,Singapore,North,Sheng Siong,SKU-S001,Sanitary Pad Day,54
2024-08-10,Singapore,North,Sheng Siong,SKU-S002,Sanitary Pad Night,43
2024-08-10,Singapore,West/Central,Cold Storage,SKU-D001,Diaper Pants M,29
2024-08-10,Singapore,West/Central,Cold Storage,SKU-D002,Diaper Pants L,35
2024-08-10,Singapore,West/Central,Cold Storage,SKU-D003,Diaper Tape NB,19
2024-08-10,Singapore,West/Central,Cold Storage,SKU-S001,Sanitary Pad Day,27
2024-08-10,Singapore,West/Central,Cold Storage,SKU-S002,Sanitary Pad Night,16
2024-08-10,Singapore,West/Central,NTUC FairPrice,SKU-D001,Diaper Pants M,106
2024-08-10,Singapore,West/Central,NTUC FairPrice,SKU-D002,Diaper Pants L,88
2024-08-10,Singapore,West/Central,NTUC FairPrice,SKU-D003,Diaper Tape NB,58
2024-08-10,Singapore,West/Central,NTUC FairPrice,SKU-S001,Sanitary Pad Day,76
2024-08-10,Singapore,West/Central,NTUC FairPrice,SKU-S002,Sanitary Pad Night,52
2024-08-10,Thailand,Bangkok,Big C,SKU-D001,Diaper Pants M,86
2024-08-10,Thailand,Bangkok,Big C,SKU-D002,Diaper Pants L,77
2024-08-10,Thailand,Bangkok,Big C,SKU-D003,Diaper Tape NB,46
2024-08-10,Thailand,Bangkok,Big C,SKU-S001,Sanitary Pad Day,63
2024-08-10,Thailand,Bangkok,Big C,SKU-S002,Sanitary Pad Night,53
2024-08-10,Thailand,Bangkok,Makro,SKU-D001,Diaper Pants M,95
2024-08-10,Thailand,Bangkok,Makro,SKU-D002,Diaper Pants L,44
2024-08-10,Thailand,Bangkok,Makro,SKU-D003,Diaper Tape NB,27
2024-08-10,Thailand,Bangkok,Makro,SKU-S001,Sanitary Pad Day,57
2024-08-10,Thailand,Bangkok,Makro,SKU-S002,Sanitary Pad Night,38
2024-08-10,Thailand,Bangkok,Tesco Lotus,SKU-D001,Diaper Pants M,127
2024-08-10,Thailand,Bangkok,Tesco Lotus,SKU-D002,Diaper Pants L,136
2024-08-10,Thailand,Bangkok,Tesco Lotus,SKU-D003,Diaper Tape NB,79
2024-08-10,Thailand,Bangkok,Tesco Lotus,SKU-S001,Sanitary Pad Day,123
2024-08-10,Thailand,Bangkok,Tesco Lotus,SKU-S002,Sanitary Pad Night,96
2024-08-10,Thailand,Central,Big C,SKU-D001,Diaper Pants M,123
2024-08-10,Thailand,Central,Big C,SKU-D002,Diaper Pants L,139
2024-08-10,Thailand,Central,Big C,SKU-D003,Diaper Tape NB,0
2024-08-10,Thailand,Central,Big C,SKU-S001,Sanitary Pad Day,128
2024-08-10,Thailand,Central,Big C,SKU-S002,Sanitary Pad Night,85
2024-08-10,Thailand,Central,Tesco Lotus,SKU-D001,Diaper Pants M,161
2024-08-10,Thailand,Central,Tesco Lotus,SKU-D002,Diaper Pants L,92
2024-08-10,Thailand,Central,Tesco Lotus,SKU-D003,Diaper Tape NB,68
2024-08-10,Thailand,Central,Tesco Lotus,SKU-S001,Sanitary Pad Day,78
2024-08-10,Thailand,Central,Tesco Lotus,SKU-S002,Sanitary Pad Night,64
2024-08-10,Thailand,North,Makro,SKU-D001,Diaper Pants M,103
